path,label,fold
data/train/train\0\103367.png,0,2
data/train/train\0\103368.png,0,0
data/train/train\0\103370.png,0,0
data/train/train\0\103371.png,0,2
data/train/train\0\103373.png,0,4
data/train/train\0\103374.png,0,2
data/train/train\0\103375.png,0,4
data/train/train\0\103376.png,0,3
data/train/train\0\103377.png,0,1
data/train/train\0\103378.png,0,3
data/train/train\0\103379.png,0,0
data/train/train\0\103381.png,0,4
data/train/train\0\103382.png,0,4
data/train/train\0\103383.png,0,4
data/train/train\0\103384.png,0,3
data/train/train\0\103385.png,0,1
data/train/train\0\103387.png,0,0
data/train/train\0\103388.png,0,1
data/train/train\0\103389.png,0,0
data/train/train\0\103390.png,0,4
data/train/train\0\103391.png,0,1
data/train/train\0\103392.png,0,2
data/train/train\0\103393.png,0,4
data/train/train\0\103394.png,0,2
data/train/train\0\103395.png,0,0
data/train/train\0\103397.png,0,2
data/train/train\0\103399.png,0,3
data/train/train\0\103400.png,0,1
data/train/train\0\103402.png,0,2
data/train/train\0\103403.png,0,3
data/train/train\0\103405.png,0,2
data/train/train\0\103406.png,0,3
data/train/train\0\103407.png,0,1
data/train/train\0\103408.png,0,0
data/train/train\0\103409.png,0,1
data/train/train\0\103410.png,0,1
data/train/train\0\103411.png,0,4
data/train/train\0\103412.png,0,1
data/train/train\0\103413.png,0,2
data/train/train\0\103415.png,0,4
data/train/train\0\103416.png,0,1
data/train/train\0\103417.png,0,0
data/train/train\0\103418.png,0,3
data/train/train\0\103419.png,0,1
data/train/train\0\103420.png,0,3
data/train/train\0\103422.png,0,1
data/train/train\0\103423.png,0,2
data/train/train\0\103426.png,0,2
data/train/train\0\103428.png,0,4
data/train/train\0\103429.png,0,2
data/train/train\0\103430.png,0,4
data/train/train\0\103431.png,0,1
data/train/train\0\103432.png,0,1
data/train/train\0\103433.png,0,3
data/train/train\0\103434.png,0,1
data/train/train\0\103435.png,0,0
data/train/train\0\103436.png,0,0
data/train/train\0\103437.png,0,2
data/train/train\0\103438.png,0,2
data/train/train\0\103440.png,0,2
data/train/train\0\103441.png,0,0
data/train/train\0\103442.png,0,4
data/train/train\0\12272.png,0,2
data/train/train\0\12273.png,0,3
data/train/train\0\12274.png,0,0
data/train/train\0\12275.png,0,4
data/train/train\0\12276.png,0,3
data/train/train\0\12277.png,0,2
data/train/train\0\12278.png,0,0
data/train/train\0\12279.png,0,1
data/train/train\0\12280.png,0,2
data/train/train\0\12281.png,0,0
data/train/train\0\12282.png,0,2
data/train/train\0\12283.png,0,4
data/train/train\0\12284.png,0,0
data/train/train\0\12285.png,0,3
data/train/train\0\12287.png,0,1
data/train/train\0\12288.png,0,4
data/train/train\0\12289.png,0,2
data/train/train\0\12290.png,0,4
data/train/train\0\12291.png,0,4
data/train/train\0\12292.png,0,4
data/train/train\0\12293.png,0,1
data/train/train\0\12295.png,0,2
data/train/train\0\12297.png,0,0
data/train/train\0\12298.png,0,0
data/train/train\0\12299.png,0,4
data/train/train\0\12300.png,0,2
data/train/train\0\12301.png,0,2
data/train/train\0\12302.png,0,1
data/train/train\0\12303.png,0,3
data/train/train\0\12304.png,0,3
data/train/train\0\12306.png,0,1
data/train/train\0\12307.png,0,0
data/train/train\0\12308.png,0,0
data/train/train\0\12309.png,0,2
data/train/train\0\12310.png,0,2
data/train/train\0\12311.png,0,3
data/train/train\0\12312.png,0,3
data/train/train\0\12315.png,0,1
data/train/train\0\12316.png,0,2
data/train/train\0\12317.png,0,4
data/train/train\0\12318.png,0,3
data/train/train\0\12319.png,0,1
data/train/train\0\12320.png,0,4
data/train/train\0\12321.png,0,4
data/train/train\0\12322.png,0,3
data/train/train\0\12323.png,0,0
data/train/train\0\12324.png,0,3
data/train/train\0\12325.png,0,2
data/train/train\0\12326.png,0,0
data/train/train\0\12327.png,0,0
data/train/train\0\12328.png,0,3
data/train/train\0\12329.png,0,1
data/train/train\0\12330.png,0,1
data/train/train\0\12331.png,0,2
data/train/train\0\12332.png,0,1
data/train/train\0\12334.png,0,2
data/train/train\0\12335.png,0,0
data/train/train\0\12336.png,0,2
data/train/train\0\12337.png,0,0
data/train/train\0\12338.png,0,1
data/train/train\0\12339.png,0,0
data/train/train\0\12340.png,0,3
data/train/train\0\12341.png,0,1
data/train/train\0\12342.png,0,4
data/train/train\0\12343.png,0,4
data/train/train\0\12344.png,0,4
data/train/train\0\12345.png,0,0
data/train/train\0\12347.png,0,4
data/train/train\0\12349.png,0,0
data/train/train\0\12351.png,0,0
data/train/train\0\12353.png,0,0
data/train/train\0\12354.png,0,4
data/train/train\0\12355.png,0,4
data/train/train\0\12356.png,0,2
data/train/train\0\12357.png,0,2
data/train/train\0\12359.png,0,1
data/train/train\0\12360.png,0,3
data/train/train\0\12361.png,0,0
data/train/train\0\12362.png,0,1
data/train/train\0\12363.png,0,0
data/train/train\0\12364.png,0,0
data/train/train\0\12365.png,0,3
data/train/train\0\12366.png,0,2
data/train/train\0\12367.png,0,1
data/train/train\0\12368.png,0,4
data/train/train\0\12369.png,0,1
data/train/train\0\12370.png,0,3
data/train/train\0\12371.png,0,3
data/train/train\0\12372.png,0,4
data/train/train\0\12373.png,0,0
data/train/train\0\12374.png,0,4
data/train/train\0\12375.png,0,1
data/train/train\0\12377.png,0,0
data/train/train\0\12378.png,0,2
data/train/train\0\12379.png,0,3
data/train/train\0\12380.png,0,1
data/train/train\0\12381.png,0,4
data/train/train\0\12382.png,0,4
data/train/train\0\12383.png,0,1
data/train/train\0\12384.png,0,1
data/train/train\0\12386.png,0,4
data/train/train\0\12387.png,0,1
data/train/train\0\12389.png,0,1
data/train/train\0\12390.png,0,2
data/train/train\0\12393.png,0,3
data/train/train\0\12394.png,0,2
data/train/train\0\12395.png,0,2
data/train/train\0\12396.png,0,4
data/train/train\0\13424.png,0,0
data/train/train\0\13425.png,0,2
data/train/train\0\13426.png,0,4
data/train/train\0\13427.png,0,0
data/train/train\0\13428.png,0,0
data/train/train\0\13429.png,0,1
data/train/train\0\13430.png,0,1
data/train/train\0\13431.png,0,2
data/train/train\0\13432.png,0,4
data/train/train\0\13433.png,0,3
data/train/train\0\13434.png,0,4
data/train/train\0\13435.png,0,0
data/train/train\0\13436.png,0,1
data/train/train\0\13437.png,0,3
data/train/train\0\13439.png,0,1
data/train/train\0\13440.png,0,1
data/train/train\0\13441.png,0,4
data/train/train\0\13442.png,0,0
data/train/train\0\13443.png,0,1
data/train/train\0\13444.png,0,3
data/train/train\0\18491.png,0,3
data/train/train\0\18492.png,0,4
data/train/train\0\18493.png,0,3
data/train/train\0\18496.png,0,1
data/train/train\0\18497.png,0,3
data/train/train\0\18498.png,0,1
data/train/train\0\18500.png,0,2
data/train/train\0\18501.png,0,1
data/train/train\0\18502.png,0,2
data/train/train\0\18503.png,0,0
data/train/train\0\18504.png,0,0
data/train/train\0\18505.png,0,1
data/train/train\0\18507.png,0,1
data/train/train\0\18508.png,0,4
data/train/train\0\18509.png,0,1
data/train/train\0\18510.png,0,1
data/train/train\0\18511.png,0,1
data/train/train\0\18512.png,0,2
data/train/train\0\18513.png,0,2
data/train/train\0\18514.png,0,1
data/train/train\0\18515.png,0,1
data/train/train\0\18516.png,0,4
data/train/train\0\18518.png,0,0
data/train/train\0\18519.png,0,2
data/train/train\0\18520.png,0,1
data/train/train\0\18521.png,0,2
data/train/train\0\18522.png,0,2
data/train/train\0\18523.png,0,1
data/train/train\0\18524.png,0,2
data/train/train\0\18525.png,0,1
data/train/train\0\18526.png,0,0
data/train/train\0\18527.png,0,0
data/train/train\0\18529.png,0,0
data/train/train\0\18530.png,0,2
data/train/train\0\18531.png,0,1
data/train/train\0\18533.png,0,3
data/train/train\0\18535.png,0,1
data/train/train\0\18536.png,0,4
data/train/train\0\18537.png,0,1
data/train/train\0\18538.png,0,1
data/train/train\0\18539.png,0,3
data/train/train\0\18540.png,0,0
data/train/train\0\18541.png,0,3
data/train/train\0\18543.png,0,1
data/train/train\0\18544.png,0,1
data/train/train\0\18545.png,0,2
data/train/train\0\18546.png,0,1
data/train/train\0\18548.png,0,2
data/train/train\0\18550.png,0,3
data/train/train\0\18551.png,0,2
data/train/train\0\18552.png,0,4
data/train/train\0\18553.png,0,2
data/train/train\0\18554.png,0,0
data/train/train\0\22751.png,0,2
data/train/train\0\22753.png,0,3
data/train/train\0\22754.png,0,0
data/train/train\0\22755.png,0,0
data/train/train\0\22756.png,0,0
data/train/train\0\22757.png,0,3
data/train/train\0\22758.png,0,0
data/train/train\0\22759.png,0,2
data/train/train\0\22761.png,0,0
data/train/train\0\22762.png,0,3
data/train/train\0\22764.png,0,4
data/train/train\0\28799.png,0,3
data/train/train\0\28800.png,0,4
data/train/train\0\28801.png,0,1
data/train/train\0\28802.png,0,1
data/train/train\0\28803.png,0,1
data/train/train\0\28804.png,0,2
data/train/train\0\28807.png,0,3
data/train/train\0\28808.png,0,0
data/train/train\0\28809.png,0,1
data/train/train\0\28810.png,0,1
data/train/train\0\28811.png,0,3
data/train/train\0\28812.png,0,2
data/train/train\0\28813.png,0,3
data/train/train\0\28814.png,0,4
data/train/train\0\28815.png,0,2
data/train/train\0\28816.png,0,4
data/train/train\0\28817.png,0,3
data/train/train\0\28819.png,0,3
data/train/train\0\28820.png,0,1
data/train/train\0\28821.png,0,1
data/train/train\0\28823.png,0,4
data/train/train\0\28825.png,0,2
data/train/train\0\28827.png,0,4
data/train/train\0\28828.png,0,2
data/train/train\0\28829.png,0,1
data/train/train\0\28830.png,0,4
data/train/train\0\28834.png,0,3
data/train/train\0\28835.png,0,1
data/train/train\0\28836.png,0,1
data/train/train\0\28839.png,0,3
data/train/train\0\28840.png,0,0
data/train/train\0\28841.png,0,0
data/train/train\0\28842.png,0,3
data/train/train\0\28844.png,0,4
data/train/train\0\28845.png,0,1
data/train/train\0\28846.png,0,0
data/train/train\0\28847.png,0,3
data/train/train\0\28848.png,0,1
data/train/train\0\28849.png,0,0
data/train/train\0\28850.png,0,0
data/train/train\0\28851.png,0,1
data/train/train\0\28854.png,0,2
data/train/train\0\28855.png,0,1
data/train/train\0\28856.png,0,3
data/train/train\0\28857.png,0,0
data/train/train\0\28859.png,0,0
data/train/train\0\28860.png,0,3
data/train/train\0\28861.png,0,0
data/train/train\0\28862.png,0,1
data/train/train\0\28863.png,0,0
data/train/train\0\28864.png,0,3
data/train/train\0\28865.png,0,4
data/train/train\0\28866.png,0,3
data/train/train\0\28867.png,0,2
data/train/train\0\28868.png,0,1
data/train/train\0\28870.png,0,1
data/train/train\0\28873.png,0,4
data/train/train\0\28874.png,0,1
data/train/train\0\28876.png,0,2
data/train/train\0\28877.png,0,0
data/train/train\0\28878.png,0,4
data/train/train\0\28879.png,0,0
data/train/train\0\28880.png,0,4
data/train/train\0\28882.png,0,4
data/train/train\0\28883.png,0,1
data/train/train\0\28885.png,0,1
data/train/train\0\28887.png,0,4
data/train/train\0\28888.png,0,2
data/train/train\0\28890.png,0,3
data/train/train\0\28891.png,0,1
data/train/train\0\28892.png,0,4
data/train/train\0\28893.png,0,1
data/train/train\0\28894.png,0,3
data/train/train\0\28895.png,0,3
data/train/train\0\28896.png,0,3
data/train/train\0\28897.png,0,1
data/train/train\0\28898.png,0,1
data/train/train\0\28899.png,0,4
data/train/train\0\28900.png,0,1
data/train/train\0\28901.png,0,4
data/train/train\0\28902.png,0,2
data/train/train\0\28904.png,0,1
data/train/train\0\28905.png,0,4
data/train/train\0\28906.png,0,2
data/train/train\0\28908.png,0,2
data/train/train\0\28910.png,0,4
data/train/train\0\28911.png,0,1
data/train/train\0\28912.png,0,3
data/train/train\0\28913.png,0,2
data/train/train\0\28914.png,0,3
data/train/train\0\28915.png,0,0
data/train/train\0\28916.png,0,3
data/train/train\0\28917.png,0,4
data/train/train\0\28918.png,0,1
data/train/train\0\28919.png,0,3
data/train/train\0\28920.png,0,0
data/train/train\0\28921.png,0,2
data/train/train\0\28923.png,0,4
data/train/train\0\28924.png,0,4
data/train/train\0\28925.png,0,4
data/train/train\0\28927.png,0,3
data/train/train\0\28928.png,0,3
data/train/train\0\28929.png,0,0
data/train/train\0\28930.png,0,3
data/train/train\0\28931.png,0,3
data/train/train\0\28932.png,0,2
data/train/train\0\28933.png,0,0
data/train/train\0\28935.png,0,1
data/train/train\0\28936.png,0,3
data/train/train\0\28937.png,0,1
data/train/train\0\28938.png,0,2
data/train/train\0\28939.png,0,3
data/train/train\0\28942.png,0,1
data/train/train\0\28944.png,0,1
data/train/train\0\28945.png,0,1
data/train/train\0\28946.png,0,1
data/train/train\0\28947.png,0,3
data/train/train\0\28948.png,0,4
data/train/train\0\28950.png,0,4
data/train/train\0\28951.png,0,4
data/train/train\0\28952.png,0,3
data/train/train\0\28953.png,0,3
data/train/train\0\28954.png,0,0
data/train/train\0\28955.png,0,1
data/train/train\0\28957.png,0,3
data/train/train\0\28958.png,0,2
data/train/train\0\39308.png,0,0
data/train/train\0\39309.png,0,4
data/train/train\0\39310.png,0,3
data/train/train\0\39311.png,0,0
data/train/train\0\39312.png,0,1
data/train/train\0\39313.png,0,4
data/train/train\0\39314.png,0,0
data/train/train\0\39315.png,0,2
data/train/train\0\39316.png,0,4
data/train/train\0\39317.png,0,4
data/train/train\0\39318.png,0,0
data/train/train\0\39320.png,0,4
data/train/train\0\39321.png,0,1
data/train/train\0\39322.png,0,4
data/train/train\0\39323.png,0,3
data/train/train\0\39324.png,0,1
data/train/train\0\39325.png,0,0
data/train/train\0\39326.png,0,4
data/train/train\0\39327.png,0,4
data/train/train\0\39329.png,0,4
data/train/train\0\39330.png,0,2
data/train/train\0\39331.png,0,4
data/train/train\0\39333.png,0,3
data/train/train\0\39334.png,0,3
data/train/train\0\39335.png,0,2
data/train/train\0\39336.png,0,3
data/train/train\0\39337.png,0,0
data/train/train\0\39338.png,0,2
data/train/train\0\39339.png,0,3
data/train/train\0\39340.png,0,4
data/train/train\0\39342.png,0,4
data/train/train\0\39343.png,0,1
data/train/train\0\39344.png,0,1
data/train/train\0\39345.png,0,3
data/train/train\0\39346.png,0,3
data/train/train\0\39347.png,0,4
data/train/train\0\39348.png,0,0
data/train/train\0\39349.png,0,4
data/train/train\0\39350.png,0,4
data/train/train\0\39351.png,0,3
data/train/train\0\39352.png,0,1
data/train/train\0\39353.png,0,4
data/train/train\0\39354.png,0,1
data/train/train\0\39355.png,0,4
data/train/train\0\39358.png,0,3
data/train/train\0\39359.png,0,4
data/train/train\0\39360.png,0,2
data/train/train\0\39361.png,0,2
data/train/train\0\39362.png,0,2
data/train/train\0\39363.png,0,2
data/train/train\0\39364.png,0,3
data/train/train\0\39365.png,0,0
data/train/train\0\39366.png,0,0
data/train/train\0\39367.png,0,2
data/train/train\0\39368.png,0,3
data/train/train\0\39369.png,0,1
data/train/train\0\39370.png,0,0
data/train/train\0\39371.png,0,3
data/train/train\0\39372.png,0,1
data/train/train\0\39373.png,0,3
data/train/train\0\39374.png,0,2
data/train/train\0\39375.png,0,2
data/train/train\0\39376.png,0,2
data/train/train\0\39377.png,0,0
data/train/train\0\39379.png,0,2
data/train/train\0\39380.png,0,1
data/train/train\0\39381.png,0,0
data/train/train\0\39382.png,0,3
data/train/train\0\39383.png,0,4
data/train/train\0\39384.png,0,2
data/train/train\0\39385.png,0,0
data/train/train\0\39386.png,0,3
data/train/train\0\39387.png,0,0
data/train/train\0\39389.png,0,0
data/train/train\0\39390.png,0,2
data/train/train\0\39391.png,0,4
data/train/train\0\39392.png,0,2
data/train/train\0\39393.png,0,0
data/train/train\0\39394.png,0,3
data/train/train\0\39396.png,0,3
data/train/train\0\39397.png,0,0
data/train/train\0\39398.png,0,1
data/train/train\0\39399.png,0,3
data/train/train\0\39400.png,0,0
data/train/train\0\39401.png,0,4
data/train/train\0\39403.png,0,1
data/train/train\0\39404.png,0,3
data/train/train\0\39405.png,0,4
data/train/train\0\39406.png,0,0
data/train/train\0\39407.png,0,2
data/train/train\0\39408.png,0,3
data/train/train\0\39409.png,0,0
data/train/train\0\39410.png,0,1
data/train/train\0\39411.png,0,0
data/train/train\0\39414.png,0,4
data/train/train\0\39416.png,0,1
data/train/train\0\39417.png,0,4
data/train/train\0\39418.png,0,1
data/train/train\0\39419.png,0,0
data/train/train\0\39421.png,0,1
data/train/train\0\39422.png,0,0
data/train/train\0\39423.png,0,0
data/train/train\0\39424.png,0,1
data/train/train\0\39425.png,0,0
data/train/train\0\39426.png,0,3
data/train/train\0\39427.png,0,3
data/train/train\0\39429.png,0,3
data/train/train\0\39431.png,0,4
data/train/train\0\39432.png,0,1
data/train/train\0\39433.png,0,0
data/train/train\0\39434.png,0,4
data/train/train\0\39436.png,0,1
data/train/train\0\39437.png,0,4
data/train/train\0\39439.png,0,1
data/train/train\0\39440.png,0,1
data/train/train\0\39441.png,0,3
data/train/train\0\39442.png,0,4
data/train/train\0\39443.png,0,2
data/train/train\0\39444.png,0,3
data/train/train\0\39446.png,0,4
data/train/train\0\39447.png,0,4
data/train/train\0\39448.png,0,0
data/train/train\0\39449.png,0,3
data/train/train\0\39450.png,0,0
data/train/train\0\39451.png,0,1
data/train/train\0\39452.png,0,4
data/train/train\0\39453.png,0,2
data/train/train\0\39454.png,0,0
data/train/train\0\39455.png,0,1
data/train/train\0\39456.png,0,1
data/train/train\0\39458.png,0,1
data/train/train\0\39459.png,0,2
data/train/train\0\39460.png,0,0
data/train/train\0\39462.png,0,4
data/train/train\0\39463.png,0,2
data/train/train\0\39464.png,0,3
data/train/train\0\39465.png,0,4
data/train/train\0\39466.png,0,0
data/train/train\0\39468.png,0,4
data/train/train\0\39469.png,0,1
data/train/train\0\39470.png,0,3
data/train/train\0\39472.png,0,3
data/train/train\0\39473.png,0,1
data/train/train\0\39475.png,0,3
data/train/train\0\39476.png,0,0
data/train/train\0\39477.png,0,2
data/train/train\0\39478.png,0,1
data/train/train\0\39479.png,0,1
data/train/train\0\39481.png,0,4
data/train/train\0\39482.png,0,0
data/train/train\0\39483.png,0,0
data/train/train\0\39485.png,0,3
data/train/train\0\39489.png,0,4
data/train/train\0\39490.png,0,3
data/train/train\0\39491.png,0,3
data/train/train\0\39492.png,0,4
data/train/train\0\39493.png,0,4
data/train/train\0\39494.png,0,4
data/train/train\0\39495.png,0,1
data/train/train\0\39496.png,0,4
data/train/train\0\39497.png,0,0
data/train/train\0\39498.png,0,2
data/train/train\0\39499.png,0,0
data/train/train\0\39500.png,0,0
data/train/train\0\39501.png,0,3
data/train/train\0\39502.png,0,1
data/train/train\0\39503.png,0,0
data/train/train\0\39504.png,0,0
data/train/train\0\39505.png,0,2
data/train/train\0\39509.png,0,1
data/train/train\0\39510.png,0,2
data/train/train\0\39511.png,0,2
data/train/train\0\39513.png,0,2
data/train/train\0\39514.png,0,2
data/train/train\0\39515.png,0,2
data/train/train\0\39516.png,0,0
data/train/train\0\39518.png,0,4
data/train/train\0\39519.png,0,1
data/train/train\0\39520.png,0,3
data/train/train\0\39521.png,0,1
data/train/train\0\39522.png,0,0
data/train/train\0\39523.png,0,4
data/train/train\0\39524.png,0,4
data/train/train\0\39525.png,0,1
data/train/train\0\39526.png,0,0
data/train/train\0\39527.png,0,3
data/train/train\0\39528.png,0,3
data/train/train\0\39530.png,0,0
data/train/train\0\39531.png,0,1
data/train/train\0\39532.png,0,2
data/train/train\0\39533.png,0,1
data/train/train\0\39534.png,0,2
data/train/train\0\39535.png,0,3
data/train/train\0\39536.png,0,2
data/train/train\0\39537.png,0,3
data/train/train\0\39539.png,0,1
data/train/train\0\39540.png,0,3
data/train/train\0\39541.png,0,0
data/train/train\0\39542.png,0,1
data/train/train\0\39543.png,0,1
data/train/train\0\39544.png,0,2
data/train/train\0\39545.png,0,4
data/train/train\0\39547.png,0,2
data/train/train\0\39548.png,0,4
data/train/train\0\39549.png,0,4
data/train/train\0\39550.png,0,2
data/train/train\0\39551.png,0,3
data/train/train\0\39552.png,0,2
data/train/train\0\39553.png,0,0
data/train/train\0\39555.png,0,4
data/train/train\0\39556.png,0,2
data/train/train\0\39557.png,0,2
data/train/train\0\39558.png,0,1
data/train/train\0\39559.png,0,4
data/train/train\0\39561.png,0,1
data/train/train\0\39563.png,0,0
data/train/train\0\39564.png,0,3
data/train/train\0\39565.png,0,4
data/train/train\0\39566.png,0,0
data/train/train\0\39567.png,0,0
data/train/train\0\39568.png,0,4
data/train/train\0\39569.png,0,0
data/train/train\0\39570.png,0,4
data/train/train\0\39571.png,0,3
data/train/train\0\39572.png,0,4
data/train/train\0\39573.png,0,4
data/train/train\0\39574.png,0,2
data/train/train\0\39575.png,0,0
data/train/train\0\39577.png,0,0
data/train/train\0\39578.png,0,4
data/train/train\0\39579.png,0,3
data/train/train\0\39580.png,0,1
data/train/train\0\39582.png,0,1
data/train/train\0\39583.png,0,2
data/train/train\0\39584.png,0,4
data/train/train\0\39585.png,0,2
data/train/train\0\39586.png,0,3
data/train/train\0\39587.png,0,3
data/train/train\0\39588.png,0,2
data/train/train\0\39589.png,0,1
data/train/train\0\39591.png,0,1
data/train/train\0\39593.png,0,0
data/train/train\0\39594.png,0,2
data/train/train\0\39595.png,0,4
data/train/train\0\39596.png,0,4
data/train/train\0\39597.png,0,2
data/train/train\0\39598.png,0,4
data/train/train\0\39599.png,0,4
data/train/train\0\39600.png,0,3
data/train/train\0\39601.png,0,0
data/train/train\0\39602.png,0,2
data/train/train\0\39603.png,0,0
data/train/train\0\43491.png,0,3
data/train/train\0\43492.png,0,4
data/train/train\0\43493.png,0,4
data/train/train\0\43495.png,0,0
data/train/train\0\43496.png,0,0
data/train/train\0\43497.png,0,0
data/train/train\0\43498.png,0,1
data/train/train\0\43499.png,0,0
data/train/train\0\43500.png,0,4
data/train/train\0\43502.png,0,3
data/train/train\0\43503.png,0,1
data/train/train\0\43504.png,0,0
data/train/train\0\43509.png,0,2
data/train/train\0\43510.png,0,0
data/train/train\0\43511.png,0,1
data/train/train\0\43513.png,0,2
data/train/train\0\43514.png,0,4
data/train/train\0\43515.png,0,3
data/train/train\0\43516.png,0,3
data/train/train\0\43518.png,0,1
data/train/train\0\43520.png,0,0
data/train/train\0\43521.png,0,4
data/train/train\0\43522.png,0,1
data/train/train\0\43523.png,0,0
data/train/train\0\43524.png,0,2
data/train/train\0\43525.png,0,2
data/train/train\0\43526.png,0,1
data/train/train\0\43527.png,0,0
data/train/train\0\43528.png,0,2
data/train/train\0\43529.png,0,0
data/train/train\0\44561.png,0,3
data/train/train\0\44562.png,0,2
data/train/train\0\44563.png,0,3
data/train/train\0\44564.png,0,4
data/train/train\0\44565.png,0,2
data/train/train\0\44566.png,0,0
data/train/train\0\44567.png,0,1
data/train/train\0\4558.png,0,1
data/train/train\0\4559.png,0,1
data/train/train\0\4560.png,0,1
data/train/train\0\4561.png,0,2
data/train/train\0\4562.png,0,4
data/train/train\0\4563.png,0,0
data/train/train\0\4564.png,0,4
data/train/train\0\4565.png,0,3
data/train/train\0\4566.png,0,1
data/train/train\0\4567.png,0,0
data/train/train\0\4568.png,0,0
data/train/train\0\4569.png,0,0
data/train/train\0\4570.png,0,1
data/train/train\0\4571.png,0,4
data/train/train\0\4572.png,0,0
data/train/train\0\4573.png,0,1
data/train/train\0\4575.png,0,0
data/train/train\0\4576.png,0,0
data/train/train\0\4577.png,0,4
data/train/train\0\4578.png,0,3
data/train/train\0\4579.png,0,2
data/train/train\0\4580.png,0,2
data/train/train\0\4581.png,0,4
data/train/train\0\4582.png,0,3
data/train/train\0\4583.png,0,2
data/train/train\0\4585.png,0,4
data/train/train\0\4586.png,0,1
data/train/train\0\4587.png,0,4
data/train/train\0\4588.png,0,4
data/train/train\0\4589.png,0,1
data/train/train\0\4590.png,0,2
data/train/train\0\4591.png,0,4
data/train/train\0\4592.png,0,1
data/train/train\0\4595.png,0,4
data/train/train\0\4596.png,0,0
data/train/train\0\4597.png,0,1
data/train/train\0\4598.png,0,3
data/train/train\0\4599.png,0,0
data/train/train\0\4601.png,0,0
data/train/train\0\4602.png,0,2
data/train/train\0\4603.png,0,2
data/train/train\0\4604.png,0,3
data/train/train\0\4605.png,0,1
data/train/train\0\4606.png,0,1
data/train/train\0\4607.png,0,1
data/train/train\0\4610.png,0,4
data/train/train\0\4611.png,0,1
data/train/train\0\4612.png,0,3
data/train/train\0\4613.png,0,3
data/train/train\0\4614.png,0,2
data/train/train\0\4615.png,0,4
data/train/train\0\4616.png,0,2
data/train/train\0\4618.png,0,0
data/train/train\0\4619.png,0,2
data/train/train\0\4620.png,0,3
data/train/train\0\4621.png,0,3
data/train/train\0\4622.png,0,3
data/train/train\0\4623.png,0,0
data/train/train\0\4624.png,0,1
data/train/train\0\4625.png,0,1
data/train/train\0\4626.png,0,0
data/train/train\0\4627.png,0,0
data/train/train\0\4628.png,0,3
data/train/train\0\4629.png,0,2
data/train/train\0\4630.png,0,1
data/train/train\0\4631.png,0,3
data/train/train\0\4632.png,0,3
data/train/train\0\4633.png,0,0
data/train/train\0\4634.png,0,4
data/train/train\0\4635.png,0,0
data/train/train\0\4638.png,0,3
data/train/train\0\4639.png,0,2
data/train/train\0\4640.png,0,2
data/train/train\0\4642.png,0,4
data/train/train\0\4643.png,0,1
data/train/train\0\4644.png,0,4
data/train/train\0\4646.png,0,4
data/train/train\0\4647.png,0,3
data/train/train\0\4648.png,0,2
data/train/train\0\4649.png,0,1
data/train/train\0\4650.png,0,0
data/train/train\0\4651.png,0,2
